,address,lat_lng
0,"601 E Main St, Collegeville, PA 19426","[40.194207, -75.458023]"
1,"290 2nd St, Schwenksville, PA 19473","[40.25478, -75.464741]"
2,"200 S 4th Ave, Royersford, PA 19468","[40.183715, -75.536382]"
3,"50 Parklane Dr, Eagleville, PA 19403","[40.162137, -75.406748]"
4,"183 2nd Ave, Phoenixville, PA 19460","[40.128856, -75.514063]"
5,"1001 Powell St, Norristown, PA 19401","[40.121953, -75.340034]"
6,"175 W Valley Forge Rd, King of Prussia, PA 19406","[40.10181, -75.371641]"
7,"301 Vine St, Lansdale, PA 19446","[40.242216, -75.287188]"
8,"1 E 1st Ave # 2, Malvern, PA 19355","[40.033505, -75.51191]"
9,"18 Darby Rd, Paoli, PA 19301","[40.041514, -75.48167]"
10,"720 First Ave, Berwyn, PA 19312","[40.044144, -75.441437]"
11,"582 Upper Gulph Rd, Strafford, PA 19087","[40.056839, -75.402742]"
12,"500 E High St, Pottstown, PA 19464","[40.244362, -75.641878]"
13,"24 N Reading Ave, Boyertown, PA 19512","[40.33415, -75.636584]"
