,address,lat_lng
0,Empire State Building,"[40.748441, -73.985664]"
1,Central Park,"[40.782555, -73.965583]"
2,Times Square,"[40.757975, -73.985543]"
3,Metropolitan Museum of Art,"[40.779437, -73.963244]"
4,One World Trade Center,"[40.712743, -74.013379]"
5,Brooklyn Bridge,"[40.706086, -73.996864]"
6,Grand Central Terminal,"[40.752726, -73.977229]"
7,Rockefeller Center,"[40.75874, -73.978674]"
8,American Museum of Natural History,"[40.781324, -73.973988]"
9,High Line,"[40.747993, -74.004765]"
10,The National 9/11 Memorial & Museum,"[40.711526, -74.012373]"
11,Fifth Avenue,"[40.774415, -73.965618]"
12,New York Public Library,"[40.712775, -74.005973]"
13,St. Patrick's Cathedral,"[40.758612, -73.976195]"
14,The Whitney Museum of American Art,"[40.739588, -74.008863]"
